cityLabel,population,countryCode,country
Saharanpur,705478,IN,http://www.wikidata.org/entity/Q668
Warangal,704570,IN,http://www.wikidata.org/entity/Q668
Ribeirão Preto,703293,BR,http://www.wikidata.org/entity/Q155
Q17182,703245,PH,http://www.wikidata.org/entity/Q928
São José dos Campos,703219,BR,http://www.wikidata.org/entity/Q155
Jaboatão dos Guararapes,702298,BR,http://www.wikidata.org/entity/Q155
Parachinar,700000,PK,http://www.wikidata.org/entity/Q843
Uberlândia,699097,BR,http://www.wikidata.org/entity/Q155
Ribeirão Preto,698642,BR,http://www.wikidata.org/entity/Q155
Jeju,698358,KR,http://www.wikidata.org/entity/Q884
Tongchuan,698322,CN,http://www.wikidata.org/entity/Q148
Jaboatão dos Guararapes,697636,BR,http://www.wikidata.org/entity/Q155
São José dos Campos,697054,BR,http://www.wikidata.org/entity/Q155
Hama,696863,SY,http://www.wikidata.org/entity/Q858
São José dos Campos,695992,BR,http://www.wikidata.org/entity/Q155
Jaboatão dos Guararapes,695956,BR,http://www.wikidata.org/entity/Q155
Ribeirão Preto,694534,BR,http://www.wikidata.org/entity/Q155
Helsinki,694392,FI,http://www.wikidata.org/entity/Q33
Turpan,693988,CN,http://www.wikidata.org/entity/Q148
Bauchi,693700,NG,http://www.wikidata.org/entity/Q1033
Salem,693236,IN,http://www.wikidata.org/entity/Q668
Bremen,693204,DE,http://www.wikidata.org/entity/Q183
Sinnuris,692701,EG,http://www.wikidata.org/entity/Q79
Lokoja,692050,NG,http://www.wikidata.org/entity/Q1033
Guadalupe,691931,MX,http://www.wikidata.org/entity/Q96
Cuiabá,691875,BR,http://www.wikidata.org/entity/Q155
Uberlândia,691305,BR,http://www.wikidata.org/entity/Q155
Jaboatão dos Guararapes,691125,BR,http://www.wikidata.org/entity/Q155
Torreón,690193,MX,http://www.wikidata.org/entity/Q96
Karbala,690100,IQ,http://www.wikidata.org/entity/Q796
Qitaihe,689611,CN,http://www.wikidata.org/entity/Q148
"Washington, D.C.",689545,US,http://www.wikidata.org/entity/Q30
