cityLabel,population,countryCode,country
Ajman,490035,AE,http://www.wikidata.org/entity/Q878
Vinh,490000,VN,http://www.wikidata.org/entity/Q881
Kaliningrad,488690,RU,http://www.wikidata.org/entity/Q159
Belgaum,488157,IN,http://www.wikidata.org/entity/Q668
Edinburgh,488050,GB,http://www.wikidata.org/entity/Q145
Penza,487978,RU,http://www.wikidata.org/entity/Q159
Gdańsk,487834,PL,http://www.wikidata.org/entity/Q36
Campos dos Goytacazes,487186,BR,http://www.wikidata.org/entity/Q155
Jaboatão dos Guararapes,487119,BR,http://www.wikidata.org/entity/Q155
Nishinomiya,487010,JP,http://www.wikidata.org/entity/Q17
Karamay,487000,CN,http://www.wikidata.org/entity/Q148
Mbuji-Mayi,486235,CD,http://www.wikidata.org/entity/Q974
Windhoek,486169,NA,http://www.wikidata.org/entity/Q1030
Omaha,486051,US,http://www.wikidata.org/entity/Q30
Sevastopol,485386,RU,http://www.wikidata.org/entity/Q159
Sevastopol,485386,UA,http://www.wikidata.org/entity/Q212
Akure,484798,NG,http://www.wikidata.org/entity/Q1033
Vellore,484690,IN,http://www.wikidata.org/entity/Q668
Campos dos Goytacazes,483970,BR,http://www.wikidata.org/entity/Q155
Campos dos Goytacazes,483540,BR,http://www.wikidata.org/entity/Q155
Q55741,483452,PH,http://www.wikidata.org/entity/Q928
Caxias do Sul,483377,BR,http://www.wikidata.org/entity/Q155
Cuiabá,483346,BR,http://www.wikidata.org/entity/Q155
Belford Roxo,483087,BR,http://www.wikidata.org/entity/Q155
Cuiabá,483044,BR,http://www.wikidata.org/entity/Q155
General Trias,482453,PH,http://www.wikidata.org/entity/Q928
Şanlıurfa,482323,TR,http://www.wikidata.org/entity/Q43
Q63145,481949,PH,http://www.wikidata.org/entity/Q928
Zarqa,481300,JO,http://www.wikidata.org/entity/Q810
Feira de Santana,480949,BR,http://www.wikidata.org/entity/Q155
Bratislava,480902,SK,http://www.wikidata.org/entity/Q214
Campos dos Goytacazes,480648,BR,http://www.wikidata.org/entity/Q155
São José do Rio Preto,480393,BR,http://www.wikidata.org/entity/Q155
Bafoussam,480000,CM,http://www.wikidata.org/entity/Q1009
Jamnagar,479920,IN,http://www.wikidata.org/entity/Q668
Sylhet,479837,BD,http://www.wikidata.org/entity/Q902
Caxias do Sul,479599,BR,http://www.wikidata.org/entity/Q155
Caxias do Sul,479256,BR,http://www.wikidata.org/entity/Q155
Caxias do Sul,479236,BR,http://www.wikidata.org/entity/Q155
Colorado Springs,478961,US,http://www.wikidata.org/entity/Q30
Ananindeua,478778,BR,http://www.wikidata.org/entity/Q155
East London,478676,ZA,http://www.wikidata.org/entity/Q258
Taoyuan District,477988,TW,http://www.wikidata.org/entity/Q865
Chiniot,477781,PK,http://www.wikidata.org/entity/Q843
Campos dos Goytacazes,477208,BR,http://www.wikidata.org/entity/Q155
Ōita-shi,477186,JP,http://www.wikidata.org/entity/Q17
Tongi,476350,BD,http://www.wikidata.org/entity/Q902
Kirov,475871,RU,http://www.wikidata.org/entity/Q159
Kurashiki,474862,JP,http://www.wikidata.org/entity/Q17
Caxias do Sul,474853,BR,http://www.wikidata.org/entity/Q155
Gaya,474093,IN,http://www.wikidata.org/entity/Q668
Iloilo City,473728,PH,http://www.wikidata.org/entity/Q928
Sheikhupura,473129,PK,http://www.wikidata.org/entity/Q843
Piura,473025,PE,http://www.wikidata.org/entity/Q419
Vila Velha,472762,BR,http://www.wikidata.org/entity/Q155
Russeifa,472604,JO,http://www.wikidata.org/entity/Q810
Bristol,472465,GB,http://www.wikidata.org/entity/Q145
Campos dos Goytacazes,472300,BR,http://www.wikidata.org/entity/Q155
Morogoro,471409,TZ,http://www.wikidata.org/entity/Q924
San Juan,471389,AR,http://www.wikidata.org/entity/Q414
Marikina,471323,PH,http://www.wikidata.org/entity/Q928
Seeb,470878,OM,http://www.wikidata.org/entity/Q842
Mbandaka,470307,CD,http://www.wikidata.org/entity/Q974
Caxias do Sul,470223,BR,http://www.wikidata.org/entity/Q155
Mykolaiv,470011,UA,http://www.wikidata.org/entity/Q212
Mazar-i-Sharif,469247,AF,http://www.wikidata.org/entity/Q889
São José do Rio Preto,469173,BR,http://www.wikidata.org/entity/Q155
Campos dos Goytacazes,468086,BR,http://www.wikidata.org/entity/Q155
Kadıköy,467919,TR,http://www.wikidata.org/entity/Q43
Baqubah,467900,IQ,http://www.wikidata.org/entity/Q796
Tel Aviv,467875,IL,http://www.wikidata.org/entity/Q801
Mactan,467824,PH,http://www.wikidata.org/entity/Q928
Raleigh,467665,US,http://www.wikidata.org/entity/Q30
Burayda,467410,SA,http://www.wikidata.org/entity/Q851
Long Beach,466742,US,http://www.wikidata.org/entity/Q30
Tamale,466723,GH,http://www.wikidata.org/entity/Q117
Kupang,466632,ID,http://www.wikidata.org/entity/Q252
Tula,466609,RU,http://www.wikidata.org/entity/Q159
Astrakhan,465990,RU,http://www.wikidata.org/entity/Q159
Mandaluyong,465902,PH,http://www.wikidata.org/entity/Q928
Caxias do Sul,465304,BR,http://www.wikidata.org/entity/Q155
Constantine,465138,DZ,http://www.wikidata.org/entity/Q262
Junagadh,465000,IN,http://www.wikidata.org/entity/Q668
São José do Rio Preto,464983,BR,http://www.wikidata.org/entity/Q155
Jinchang,464050,CN,http://www.wikidata.org/entity/Q148
Campos dos Goytacazes,463731,BR,http://www.wikidata.org/entity/Q155
Caxias do Sul,463501,BR,http://www.wikidata.org/entity/Q155
Uijeongbu,463324,KR,http://www.wikidata.org/entity/Q884
Esna,462787,EG,http://www.wikidata.org/entity/Q79
Kanazawa,462479,JP,http://www.wikidata.org/entity/Q17
Asunción,462241,PY,http://www.wikidata.org/entity/Q733
Manado,461636,ID,http://www.wikidata.org/entity/Q252
São José do Rio Preto,460671,BR,http://www.wikidata.org/entity/Q155
Jalgaon,460468,IN,http://www.wikidata.org/entity/Q668
Fukuyama,459576,JP,http://www.wikidata.org/entity/Q17
Virginia Beach,459470,US,http://www.wikidata.org/entity/Q30
Lanús,459263,AR,http://www.wikidata.org/entity/Q414
Kurnool,457633,IN,http://www.wikidata.org/entity/Q668
Tallinn,457572,EE,http://www.wikidata.org/entity/Q191
São José do Rio Preto,456245,BR,http://www.wikidata.org/entity/Q155
Amagasaki,455555,JP,http://www.wikidata.org/entity/Q17
Malacca,455300,MY,http://www.wikidata.org/entity/Q833
Hsinchu City,455275,TW,http://www.wikidata.org/entity/Q865
Manizales,454494,CO,http://www.wikidata.org/entity/Q739
Pasay,453186,PH,http://www.wikidata.org/entity/Q928
Zurich,452421,CH,http://www.wikidata.org/entity/Q39
Kota Kinabalu,452058,MY,http://www.wikidata.org/entity/Q833
Udaipur,451100,IN,http://www.wikidata.org/entity/Q668
Mogi das Cruzes,450785,BR,http://www.wikidata.org/entity/Q155
Stavropol,450680,RU,http://www.wikidata.org/entity/Q159
São José do Rio Preto,450657,BR,http://www.wikidata.org/entity/Q155
Laval,450629,CA,http://www.wikidata.org/entity/Q16
Betim,450024,BR,http://www.wikidata.org/entity/Q155
Lomé,450000,TG,http://www.wikidata.org/entity/Q945
Sirajganj,450000,BD,http://www.wikidata.org/entity/Q902
Contagem,449588,BR,http://www.wikidata.org/entity/Q155
Constantine,448374,DZ,http://www.wikidata.org/entity/Q262
Maheshtala,448317,IN,http://www.wikidata.org/entity/Q668
Eslamshahr,448129,IR,http://www.wikidata.org/entity/Q794
Rajshahi,448087,BD,http://www.wikidata.org/entity/Q902
Londrina,447065,BR,http://www.wikidata.org/entity/Q155
Caxias do Sul,446911,BR,http://www.wikidata.org/entity/Q155
Ado Ekiti,446749,NG,http://www.wikidata.org/entity/Q1033
São José do Rio Preto,446649,BR,http://www.wikidata.org/entity/Q155
Batman,445874,TR,http://www.wikidata.org/entity/Q43
Betim,444784,BR,http://www.wikidata.org/entity/Q155
Kahramanmaraş,443575,TR,http://www.wikidata.org/entity/Q43
Macapá,442933,BR,http://www.wikidata.org/entity/Q155
Kupang,442758,ID,http://www.wikidata.org/entity/Q252
São José do Rio Preto,442548,BR,http://www.wikidata.org/entity/Q155
Tonalá,442440,MX,http://www.wikidata.org/entity/Q96
São José dos Campos,442370,BR,http://www.wikidata.org/entity/Q155
Miami,442241,US,http://www.wikidata.org/entity/Q30
Betim,441748,BR,http://www.wikidata.org/entity/Q155
Caxias do Sul,441332,BR,http://www.wikidata.org/entity/Q155
São João de Meriti,440962,BR,http://www.wikidata.org/entity/Q155
Korhogo,440926,CI,http://www.wikidata.org/entity/Q1008
Oakland,440646,US,http://www.wikidata.org/entity/Q30
Torreón,439436,MX,http://www.wikidata.org/entity/Q96
Betim,439340,BR,http://www.wikidata.org/entity/Q155
Laval,438366,CA,http://www.wikidata.org/entity/Q16
São José do Rio Preto,438354,BR,http://www.wikidata.org/entity/Q155
Jinchang,438026,CN,http://www.wikidata.org/entity/Q148
Montes Claros,437601,BR,http://www.wikidata.org/entity/Q155
Phrae,437350,TH,http://www.wikidata.org/entity/Q869
Sunchon,437000,KP,http://www.wikidata.org/entity/Q423
Fujisawa,436744,JP,http://www.wikidata.org/entity/Q17
Ribeirão Preto,436682,BR,http://www.wikidata.org/entity/Q155
Sangli,436639,IN,http://www.wikidata.org/entity/Q668
Siguiri,436555,GN,http://www.wikidata.org/entity/Q1006
Lobito,436467,AO,http://www.wikidata.org/entity/Q916
Caxias do Sul,435564,BR,http://www.wikidata.org/entity/Q155
Ulan-Ude,435067,RU,http://www.wikidata.org/entity/Q159
Palma,434786,ES,http://www.wikidata.org/entity/Q29
Kursk,434696,RU,http://www.wikidata.org/entity/Q159
Machida,434414,JP,http://www.wikidata.org/entity/Q17
Montes Claros,434321,BR,http://www.wikidata.org/entity/Q155
São José do Rio Preto,434039,BR,http://www.wikidata.org/entity/Q155
Campos dos Goytacazes,434008,BR,http://www.wikidata.org/entity/Q155
Betim,432575,BR,http://www.wikidata.org/entity/Q155
Campos dos Goytacazes,431839,BR,http://www.wikidata.org/entity/Q155
Dutse,431800,NG,http://www.wikidata.org/entity/Q1033
Kozhikode,431560,IN,http://www.wikidata.org/entity/Q668
Betim,431433,BR,http://www.wikidata.org/entity/Q155
Santa Rosa,430920,PH,http://www.wikidata.org/entity/Q928
Zanjan,430871,IR,http://www.wikidata.org/entity/Q794
Khamis Mushait,430828,SA,http://www.wikidata.org/entity/Q851
Letopolis,430609,EG,http://www.wikidata.org/entity/Q79
Awka,430200,NG,http://www.wikidata.org/entity/Q1033
Corrientes,430170,AR,http://www.wikidata.org/entity/Q414
Minneapolis,429954,US,http://www.wikidata.org/entity/Q30
Uyo,429900,NG,http://www.wikidata.org/entity/Q1033
Masan,429612,KR,http://www.wikidata.org/entity/Q884
Betim,429507,BR,http://www.wikidata.org/entity/Q155
Tanta,429503,EG,http://www.wikidata.org/entity/Q79
Ismailia,429465,EG,http://www.wikidata.org/entity/Q79
Betim,429236,BR,http://www.wikidata.org/entity/Q155
Cusco,428450,PE,http://www.wikidata.org/entity/Q419
Veracruz,428323,MX,http://www.wikidata.org/entity/Q96
Sokoto,427760,NG,http://www.wikidata.org/entity/Q1033
Kashiwa,427603,JP,http://www.wikidata.org/entity/Q17
Betim,427146,BR,http://www.wikidata.org/entity/Q155
Malatya,426381,TR,http://www.wikidata.org/entity/Q43
Aomori,425962,JP,http://www.wikidata.org/entity/Q17
Tepic,425942,MX,http://www.wikidata.org/entity/Q96
Akola,425817,IN,http://www.wikidata.org/entity/Q668
Xalapa,424755,MX,http://www.wikidata.org/entity/Q96
Rajpur Sonarpur,424368,IN,http://www.wikidata.org/entity/Q668
Piracicaba,423323,BR,http://www.wikidata.org/entity/Q155
Tétouan,422757,MA,http://www.wikidata.org/entity/Q1028
Yogyakarta,422732,ID,http://www.wikidata.org/entity/Q252
Skopje,422540,MK,http://www.wikidata.org/entity/Q221
Likasi,422535,CD,http://www.wikidata.org/entity/Q974
Betim,422354,BR,http://www.wikidata.org/entity/Q155
London,422324,CA,http://www.wikidata.org/entity/Q16
Toyota,422106,JP,http://www.wikidata.org/entity/Q17
Elazığ,421726,TR,http://www.wikidata.org/entity/Q43
Uijeongbu,421579,KR,http://www.wikidata.org/entity/Q884
Hpa-An,421525,MM,http://www.wikidata.org/entity/Q836
Gumi,421075,KR,http://www.wikidata.org/entity/Q884
Rahim Yar Khan,420419,PK,http://www.wikidata.org/entity/Q843
Surgut,420347,RU,http://www.wikidata.org/entity/Q159
Manisa,420015,TR,http://www.wikidata.org/entity/Q43
São José do Rio Preto,419632,BR,http://www.wikidata.org/entity/Q155
Seremban,419536,MY,http://www.wikidata.org/entity/Q833
Campina Grande,419379,BR,http://www.wikidata.org/entity/Q155
Santos,418608,BR,http://www.wikidata.org/entity/Q155
Petrolina,418444,BR,http://www.wikidata.org/entity/Q155
Taraz,418368,KZ,http://www.wikidata.org/entity/Q232
Mauá,418261,BR,http://www.wikidata.org/entity/Q155
Kolwezi,418000,CD,http://www.wikidata.org/entity/Q974
Luhansk,417990,UA,http://www.wikidata.org/entity/Q212
Takamatsu,417814,JP,http://www.wikidata.org/entity/Q17
Manisa,417578,TR,http://www.wikidata.org/entity/Q43
Montes Claros,417478,BR,http://www.wikidata.org/entity/Q155
Betim,417307,BR,http://www.wikidata.org/entity/Q155
Arusha,416442,TZ,http://www.wikidata.org/entity/Q924
Nuevo Laredo,416055,MX,http://www.wikidata.org/entity/Q96
Callao,415888,PE,http://www.wikidata.org/entity/Q419
